stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
STATION_M118,10118,STATION ANGRIGNON,45.446466,-73.603118,,1,,2
43,10118,Station Angrignon,45.446466,-73.603118,http://www.stm.info/fr/infos/reseaux/metro/angrignon,0,STATION_M118,2
43-01,10118,Station Angrignon,45.446319,-73.603835,,2,STATION_M118,2
STATION_M120,10120,STATION MONK,45.451158,-73.593242,,1,,2
42,10120,Station Monk,45.451158,-73.593242,http://www.stm.info/fr/infos/reseaux/metro/monk,0,STATION_M120,2
42-01,10120,Station Monk - Édicule Nord,45.451307,-73.593128,,2,STATION_M120,2
42-02,10120,Station Monk - Édicule Sud,45.451007,-73.593380,,2,STATION_M120,2
STATION_M122,10122,STATION JOLICOEUR,45.457010,-73.581691,,1,,2
41,10122,Station Jolicoeur,45.457010,-73.581691,http://www.stm.info/fr/infos/reseaux/metro/jolicoeur,0,STATION_M122,2
41-01,10122,Station Jolicoeur,45.456787,-73.582115,,2,STATION_M122,2
STATION_M124,10124,STATION VERDUN,45.459441,-73.572021,,1,,2
40,10124,Station Verdun,45.459441,-73.572021,http://www.stm.info/fr/infos/reseaux/metro/verdun,0,STATION_M124,2
40-01,10124,Station Verdun - Édicule Nord,45.459222,-73.571833,,2,STATION_M124,2
40-02,10124,Station Verdun - Édicule Sud,45.459163,-73.571521,,2,STATION_M124,2
STATION_M126,10126,STATION DE L'ÉGLISE,45.461894,-73.567074,,1,,2
39,10126,Station De l'Église,45.461894,-73.567074,http://www.stm.info/fr/infos/reseaux/metro/de-l-eglise,0,STATION_M126,2
39-01,10126,Station De l'Église - Édicule Wellington,45.461818,-73.567216,,2,STATION_M126,2
39-02,10126,Station De l'Église,45.462823,-73.565795,,2,STATION_M126,2
STATION_M128,10128,STATION LASALLE,45.471063,-73.566267,,1,,2
38,10128,Station LaSalle,45.471063,-73.566267,http://www.stm.info/fr/infos/reseaux/metro/lasalle,0,STATION_M128,2
38-01,10128,Station LaSalle,45.470736,-73.566135,,2,STATION_M128,2
STATION_M130,10130,STATION CHARLEVOIX,45.478465,-73.569336,,1,,2
37,10130,Station Charlevoix,45.478465,-73.569336,http://www.stm.info/fr/infos/reseaux/metro/charlevoix,0,STATION_M130,2
37-01,10130,Station Charlevoix,45.478318,-73.569349,,2,STATION_M130,2
STATION_M132,10132,STATION LIONEL-GROULX,45.482509,-73.580180,,1,,1
36,10132,Station Lionel-Groulx,45.482509,-73.580180,http://www.stm.info/fr/infos/reseaux/metro/lionel-groulx,0,STATION_M132,1
36-01,10132,Station Lionel-Groulx,45.482878,-73.579601,,2,STATION_M132,1
STATION_M134,10134,STATION ATWATER,45.490068,-73.585812,,1,,2
35,10134,Station Atwater,45.490068,-73.585812,http://www.stm.info/fr/infos/reseaux/metro/atwater,0,STATION_M134,2
35-01,10134,Station Atwater - Édicule De Maisonneuve (A),45.489770,-73.586290,,2,STATION_M134,2
35-02,10134,Station Atwater - Édicule Ste-Catherine (B),45.489345,-73.584202,,2,STATION_M134,2
STATION_M136,10136,STATION GUY-CONCORDIA,45.495570,-73.579310,,1,,2
34,10136,Station Guy-Concordia,45.495570,-73.579310,http://www.stm.info/fr/infos/reseaux/metro/guy-concordia,0,STATION_M136,2
34-01,10136,Station Guy-Concordia - Édicule Guy (B),45.495678,-73.579056,,2,STATION_M136,2
34-02,10136,Station Guy-Concordia - Édicule St-Mathieu (A),45.494521,-73.580755,,2,STATION_M136,2
STATION_M138,10138,STATION PEEL,45.500879,-73.574715,,1,,2
33,10138,Station Peel,45.500879,-73.574715,http://www.stm.info/fr/infos/reseaux/metro/peel,0,STATION_M138,2
33-01,10138,Station Peel - Édicule Ouest,45.500890,-73.574971,,2,STATION_M138,2
33-02,10138,Station Peel - Édicule Metcalfe,45.501543,-73.574218,,2,STATION_M138,2
33-03,10138,Station Peel - Édicule Est,45.501028,-73.574305,,2,STATION_M138,2
33-04,10138,Station Peel - Édicule Stanley,45.499937,-73.574713,,2,STATION_M138,2
STATION_M140,10140,STATION MCGILL,45.504064,-73.571586,,1,,2
32,10140,Station McGill,45.504064,-73.571586,http://www.stm.info/fr/infos/reseaux/metro/mcgill,0,STATION_M140,2
32-01,10140,Station McGill - Édicule Tour KPMG,45.504117,-73.571310,,2,STATION_M140,2
32-02,10140,Station McGill - Édicule Union,45.504802,-73.571143,,2,STATION_M140,2
32-03,10140,Station McGill - Édicule Ste-Catherine,45.504705,-73.570872,,2,STATION_M140,2
32-04,10140,Station McGill - Édicule University,45.504393,-73.572132,,2,STATION_M140,2
32-06,10140,Station McGill - Édicule De Maisonneuve,45.503450,-73.572045,,2,STATION_M140,2
